id	front	definition	example	translation	tags
fr-b1-001	développer (v.)	faire croître, élaborer	L'entreprise a développé une application.	desarrollar	b1 verb work
fr-b1-002	établir (v.)	fixer, créer formellement	Nous avons établi de nouvelles règles.	establecer	b1 verb
fr-b1-003	présenter (v.)	montrer ; introduire quelqu'un	Je présente le projet demain.	presentar	b1 verb work
fr-b1-004	permettre (v.)	autoriser ; rendre possible	Cela permet de gagner du temps.	permitir	b1 verb
fr-b1-005	exiger (v.)	demander comme obligatoire	Le poste exige un bon anglais.	exigir	b1 verb work
fr-b1-006	garantir (v.)	assurer	Je garantis que ça marchera.	garantizar	b1 verb
fr-b1-007	éviter (v.)	empêcher que ça arrive	J'évite les heures de pointe.	evitar	b1 verb
fr-b1-008	affronter (v.)	faire face à	Il faut affronter le problème.	enfrentar	b1 verb
fr-b1-009	dépasser (v.)	aller au-delà ; doubler	Les résultats ont dépassé nos attentes.	superar	b1 verb
fr-b1-010	atteindre (v.)	arriver à ; obtenir	Nous avons atteint l'objectif.	alcanzar	b1 verb irregular
fr-b1-011	souligner (v.)	mettre en évidence	Je souligne deux points.	subrayar, destacar	b1 verb
fr-b1-012	suggérer (v.)	proposer une idée	Je suggère de reporter.	sugerir	b1 verb
fr-b1-013	proposer (v.)	présenter comme proposition	Ils ont proposé une solution.	proponer	b1 verb
fr-b1-014	refuser (v.)	ne pas accepter	J'ai refusé l'offre.	rechazar	b1 verb
fr-b1-015	admettre (v.)	reconnaître	J'admets que j'ai eu tort.	admitir	b1 verb irregular
fr-b1-016	remarquer (v.)	noter, apercevoir	J'ai remarqué qu'il était nerveux.	notar, fijarse	b1 verb
fr-b1-017	apparaître (v.)	devenir visible	Un problème est apparu.	aparecer	b1 verb irregular
fr-b1-018	renoncer (v.)	abandonner (renoncer À)	Il a renoncé à son poste.	renunciar	b1 verb preposition
fr-b1-019	insister (v.)	répéter avec persistance	Il a insisté pour payer.	insistir	b1 verb
fr-b1-020	dépendre (v.)	être conditionné (dépendre DE)	Ça dépend de l'horaire.	depender	b1 verb preposition
fr-b1-021	être d'accord (loc.)	partager l'opinion	Je suis d'accord avec toi.	estar de acuerdo	b1 verb chunk
fr-b1-022	se plaindre (v.)	exprimer son mécontentement	Je me suis plaint du service.	quejarse	b1 verb reflexive
fr-b1-023	remercier (v.)	exprimer sa gratitude	Je remercie tout le monde.	agradecer	b1 verb
fr-b1-024	profiter (v.)	tirer avantage (profiter DE)	J'ai profité du week-end pour me reposer.	aprovechar	b1 verb preposition
fr-b1-025	investir (v.)	placer des ressources	Ils ont investi dans la technologie.	invertir	b1 verb money
fr-b1-026	économiser (v.)	dépenser moins	J'économise pour voyager.	ahorrar	b1 verb money
fr-b1-027	dépenser (v.)	utiliser de l'argent	J'ai trop dépensé ce mois-ci.	gastar	b1 verb money
fr-b1-028	rembourser (v.)	rendre l'argent	Ils m'ont remboursé le billet.	reembolsar	b1 verb money
fr-b1-029	rendre (v.)	restituer ; rendre + adjectif	J'ai rendu le livre. Ça me rend fou.	devolver; volver (a alguien)	b1 verb keyverb
fr-b1-030	échanger (v.)	troquer	Je voudrais échanger cette taille.	cambiar	b1 verb shopping
fr-b1-031	livrer (v.)	remettre une commande	Ils livrent en 48 heures.	entregar	b1 verb work
fr-b1-032	reporter (v.)	transférer à plus tard	Nous avons reporté la réunion.	posponer	b1 verb work
fr-b1-033	annuler (v.)	supprimer ce qui était prévu	Le vol a été annulé.	cancelar	b1 verb
fr-b1-034	prendre rendez-vous (loc.)	fixer une rencontre	J'ai pris rendez-vous chez le médecin.	pedir cita	b1 verb chunk
fr-b1-035	mettre du temps (loc.)	être long	Ça a mis deux heures.	tardar	b1 verb chunk
fr-b1-036	défi (n.m.)	tâche difficile et stimulante	Apprendre le français était un défi.	desafío, reto	b1 noun
fr-b1-037	objectif (n.m.)	ce qu'on veut atteindre	Mon objectif est de vivre à Paris.	objetivo	b1 noun
