id	front	definition	example	translation	tags
it-a2-001	riuscire (v.)	arrivare a fare (riuscire A)	Non sono riuscito a dormire.	lograr, conseguir	a2 verb top500 preposition
it-a2-002	succedere (v.)	accadere	Che cosa è successo?	pasar, suceder	a2 verb top500
it-a2-003	lasciare (v.)	permettere; abbandonare	Lasciami vedere. Ho lasciato le chiavi a casa.	dejar	a2 verb top500 keyverb
it-a2-004	portare (v.)	trasportare; indossare	Ti porto a casa. Porta gli occhiali.	llevar	a2 verb top500 keyverb
it-a2-005	perdere (v.)	non avere più; non arrivare in tempo	Ho perso le chiavi. Ho perso l'autobus.	perder	a2 verb top500 irregular
it-a2-006	guadagnare (v.)	ricevere denaro	Guadagno duemila euro al mese.	ganar	a2 verb work
it-a2-007	tenere (v.)	mantenere in mano; conservare	Tieni il resto.	tener, guardar	a2 verb irregular keyverb
it-a2-008	cambiare (v.)	rendere diverso; traslocare	Abbiamo cambiato casa.	cambiar	a2 verb
it-a2-009	migliorare (v.)	diventare migliore	Il mio italiano è migliorato.	mejorar	a2 verb
it-a2-010	peggiorare (v.)	diventare peggiore	Il tempo è peggiorato.	empeorar	a2 verb
it-a2-011	provare (v.)	tentare; assaggiare; provare un vestito	Ho provato a chiamarti.	intentar; probar	a2 verb keyverb
it-a2-012	sembrare (v.)	dare l'impressione	Sembra che piova.	parecer	a2 verb top500
it-a2-013	ricordare (v.)	tenere in memoria	Mi ricordo di te.	recordar	a2 verb
it-a2-014	dimenticare (v.)	perdere dalla memoria	Ho dimenticato il suo nome.	olvidar	a2 verb
it-a2-015	crescere (v.)	diventare più grande	I bambini crescono in fretta.	crecer	a2 verb
it-a2-016	nascere (v.)	venire al mondo	Sono nato a Medellín.	nacer	a2 verb irregular
it-a2-017	morire (v.)	cessare di vivere	Mio nonno è morto l'anno scorso.	morir	a2 verb irregular
it-a2-018	ricevere (v.)	ottenere ciò che è inviato	Ho ricevuto il tuo messaggio.	recibir	a2 verb
it-a2-019	mandare (v.)	far arrivare	Ti mando una mail.	enviar, mandar	a2 verb
it-a2-020	usare (v.)	impiegare	Uso gli occhiali per leggere.	usar	a2 verb
it-a2-021	togliere (v.)	rimuovere	Togli la giacca, fa caldo.	quitar	a2 verb irregular
it-a2-022	mettere (v.)	collocare; indossare	Ho messo il libro sul tavolo.	poner	a2 verb irregular keyverb
it-a2-023	funzionare (v.)	andare bene, operare	Non funziona.	funcionar	a2 verb
it-a2-024	camminare (v.)	andare a piedi	Cammino molto in centro.	caminar	a2 verb
it-a2-025	correre (v.)	spostarsi in fretta	Corro al parco la mattina.	correr	a2 verb sport
it-a2-026	salire (v.)	andare verso l'alto; salire sull'autobus	Salgo le scale.	subir	a2 verb falsefriend
it-a2-027	scendere (v.)	andare verso il basso; scendere dall'autobus	Scendo alla prossima fermata.	bajar	a2 verb transport
it-a2-028	entrare (v.)	passare dentro	Sono entrato piano.	entrar	a2 verb
it-a2-029	uscire (v.)	andare fuori	Esco dal lavoro alle sei.	salir	a2 verb irregular
it-a2-030	tornare (v.)	rientrare	Torno domani mattina.	volver	a2 verb
it-a2-031	avere voglia di (loc.)	desiderare	Ho voglia di un caffè.	tener ganas de	a2 verb chunk
it-a2-032	avere mal di (loc.)	sentire dolore	Ho mal di testa.	dolerle algo	a2 verb chunk health
it-a2-033	stare per (loc.)	essere sul punto di	Sto per uscire.	estar a punto de	a2 verb chunk grammar
it-a2-034	valere la pena (loc.)	meritare lo sforzo	Vale la pena visitare Firenze.	valer la pena	a2 verb chunk
it-a2-035	fare attenzione (loc.)	essere prudenti	Fai attenzione al gradino!	tener cuidado	a2 verb chunk
it-a2-036	accorgersi (v.)	percepire (accorgersi DI)	Mi sono accorto dell'errore.	darse cuenta	a2 verb reflexive preposition
it-a2-037	avere fretta (loc.)	avere poco tempo	Ho fretta, scusa.	tener prisa	a2 verb chunk
it-a2-038	avere fame / sete (loc.)	bisogno di mangiare / bere	Ho fame e ho sete.	tener hambre / sed	a2 verb chunk
it-a2-039	dare una mano (loc.)	aiutare	Mi dai una mano?	echar una mano	a2 verb chunk
it-a2-040	fare un giro (loc.)	andare a passeggio	Facciamo un giro in centro?	dar una vuelta	a2 verb chunk
it-a2-041	salute (s.f.)	stato del corpo	Mi prendo cura della salute.	salud	a2 noun health
it-a2-042	malattia (s.f.)	problema di salute	Ha avuto una malattia grave.	enfermedad	a2 noun health
