id	front	definition	example	translation	tags
it-b1-001	sviluppare (v.)	far crescere, elaborare	L'azienda ha sviluppato un'applicazione.	desarrollar	b1 verb work
it-b1-002	stabilire (v.)	fissare, creare formalmente	Abbiamo stabilito nuove regole.	establecer	b1 verb
it-b1-003	presentare (v.)	mostrare; introdurre qualcuno	Presento il progetto domani.	presentar	b1 verb work
it-b1-004	permettere (v.)	consentire; rendere possibile	Questo permette di risparmiare tempo.	permitir	b1 verb irregular
it-b1-005	richiedere (v.)	esigere come necessario	Il posto richiede un buon inglese.	requerir, exigir	b1 verb work
it-b1-006	garantire (v.)	assicurare	Garantisco che funzionerà.	garantizar	b1 verb
it-b1-007	evitare (v.)	impedire che accada	Evito le ore di punta.	evitar	b1 verb
it-b1-008	affrontare (v.)	far fronte a	Bisogna affrontare il problema.	afrontar	b1 verb
it-b1-009	superare (v.)	andare oltre; vincere	I risultati hanno superato le attese.	superar	b1 verb
it-b1-010	raggiungere (v.)	arrivare a; ottenere	Abbiamo raggiunto l'obiettivo.	alcanzar	b1 verb irregular
it-b1-011	sottolineare (v.)	mettere in evidenza	Sottolineo due punti.	subrayar, destacar	b1 verb
it-b1-012	suggerire (v.)	proporre un'idea	Suggerisco di rinviare.	sugerir	b1 verb
it-b1-013	proporre (v.)	presentare come proposta	Hanno proposto una soluzione.	proponer	b1 verb irregular
it-b1-014	rifiutare (v.)	non accettare	Ho rifiutato l'offerta.	rechazar	b1 verb
it-b1-015	ammettere (v.)	riconoscere	Ammetto di aver sbagliato.	admitir	b1 verb irregular
it-b1-016	notare (v.)	accorgersi di	Ho notato che era nervoso.	notar	b1 verb
it-b1-017	comparire (v.)	diventare visibile	È comparso un problema.	aparecer	b1 verb irregular
it-b1-018	rinunciare (v.)	abbandonare (rinunciare A)	Ha rinunciato al posto.	renunciar	b1 verb preposition
it-b1-019	insistere (v.)	ripetere con costanza	Ha insistito per pagare.	insistir	b1 verb
it-b1-020	dipendere (v.)	essere condizionato (dipendere DA)	Dipende dall'orario.	depender	b1 verb preposition
it-b1-021	essere d'accordo (loc.)	condividere l'opinione	Sono d'accordo con te.	estar de acuerdo	b1 verb chunk
it-b1-022	lamentarsi (v.)	esprimere insoddisfazione	Mi sono lamentato del servizio.	quejarse	b1 verb reflexive
it-b1-023	ringraziare (v.)	esprimere gratitudine	Ringrazio tutti.	agradecer	b1 verb
it-b1-024	approfittare (v.)	trarre vantaggio (approfittare DI)	Ho approfittato del ponte per riposare.	aprovechar	b1 verb preposition
it-b1-025	investire (v.)	impiegare risorse	Hanno investito nella tecnologia.	invertir	b1 verb money
it-b1-026	risparmiare (v.)	spendere meno	Risparmio per viaggiare.	ahorrar	b1 verb money
it-b1-027	spendere (v.)	usare denaro	Ho speso troppo questo mese.	gastar	b1 verb irregular money
it-b1-028	rimborsare (v.)	restituire il denaro	Mi hanno rimborsato il biglietto.	reembolsar	b1 verb money
it-b1-029	restituire (v.)	dare indietro	Ho restituito il libro.	devolver	b1 verb
it-b1-030	consegnare (v.)	dare in mano; far arrivare	Ho consegnato la relazione in tempo.	entregar	b1 verb work
it-b1-031	rinviare (v.)	spostare a più tardi	Abbiamo rinviato la riunione.	posponer	b1 verb work
it-b1-032	annullare (v.)	cancellare ciò che era previsto	Il volo è stato annullato.	cancelar	b1 verb
it-b1-033	prendere appuntamento (loc.)	fissare un incontro	Ho preso appuntamento dal medico.	pedir cita	b1 verb chunk
it-b1-034	metterci (v.)	impiegare tempo	Ci ho messo due ore.	tardar	b1 verb chunk keyverb
it-b1-035	sfida (s.f.)	compito difficile e stimolante	Imparare l'italiano è stata una sfida.	desafío, reto	b1 noun
it-b1-036	obiettivo (s.m.)	ciò che si vuole raggiungere	Il mio obiettivo è vivere in Italia.	objetivo	b1 noun
it-b1-037	risultato (s.m.)	ciò che si ottiene	I risultati sono positivi.	resultado	b1 noun
it-b1-038	conseguenza (s.f.)	effetto di qualcosa	Ne subiamo le conseguenze.	consecuencia	b1 noun
it-b1-039	vantaggio (s.m.)	punto favorevole	Il vantaggio è la flessibilità.	ventaja	b1 noun
it-b1-040	svantaggio (s.m.)	punto sfavorevole	Lo svantaggio è il costo.	desventaja	b1 noun
it-b1-041	rischio (s.m.)	possibilità di danno	C'è il rischio di un ritardo.	riesgo	b1 noun
it-b1-042	soluzione (s.f.)	risposta a un problema	Abbiamo trovato una soluzione.	solución	b1 noun
it-b1-043	proposta (s.f.)	suggerimento formale	La proposta è stata approvata.	propuesta	b1 noun work
it-b1-044	esame (s.m.)	prova di valutazione	Ho un esame domani.	examen	b1 noun school
it-b1-045	indagine (s.f.)	investigazione; sondaggio	Ho fatto un'indagine sul tema.	investigación; encuesta	b1 noun
