id	front	definition	example	translation	tags
pt-a1-001	tempo (s.m.)	o que passa em horas, dias e anos; também o clima	Não tenho tempo para conversar agora.	tiempo	a1 noun top100
pt-a1-002	pessoa (s.f.)	um ser humano	Ela é uma pessoa muito simpática.	persona	a1 noun top100
pt-a1-003	ano (s.m.)	período de doze meses	Moro aqui há dois anos.	año	a1 noun top100
pt-a1-004	dia (s.m.)	período de vinte e quatro horas	Que dia é hoje?	día	a1 noun top100
pt-a1-005	coisa (s.f.)	um objeto ou assunto qualquer	Tenho uma coisa para te contar.	cosa	a1 noun top100
pt-a1-006	homem (s.m.)	pessoa adulta do sexo masculino	Aquele homem é meu pai.	hombre	a1 noun top100
pt-a1-007	mulher (s.f.)	pessoa adulta do sexo feminino	A mulher de chapéu é minha tia.	mujer	a1 noun top100
pt-a1-008	casa (s.f.)	lugar onde uma pessoa mora	Minha casa fica perto da praia.	casa	a1 noun top100
pt-a1-009	trabalho (s.m.)	atividade que se faz para ganhar dinheiro	Vou para o trabalho de ônibus.	trabajo	a1 noun top100
pt-a1-010	vida (s.f.)	o tempo em que alguém vive	A vida na cidade é agitada.	vida	a1 noun top100
pt-a1-011	mão (s.f.)	parte do corpo no fim do braço	Lave as mãos antes de comer.	mano	a1 noun body
pt-a1-012	parte (s.f.)	um pedaço de algo maior	Esta é a melhor parte do filme.	parte	a1 noun top100
pt-a1-013	criança (s.f.)	pessoa muito nova, menino ou menina	As crianças brincam no parque.	niño, niña	a1 noun family
pt-a1-014	olho (s.m.)	órgão com que vemos	Ela tem olhos castanhos.	ojo	a1 noun body
pt-a1-015	lugar (s.m.)	um espaço, um sítio	Este é um bom lugar para comer.	lugar	a1 noun top100
pt-a1-016	semana (s.f.)	período de sete dias	Trabalho cinco dias por semana.	semana	a1 noun time
pt-a1-017	família (s.f.)	pais, filhos e parentes	Minha família é grande.	familia	a1 noun family
pt-a1-018	problema (s.m.)	uma dificuldade; algo que precisa de solução	Não tem problema, eu espero.	problema	a1 noun top100
pt-a1-019	amigo (s.m.)	pessoa de quem gostamos e em quem confiamos	Meu amigo mora em Recife.	amigo	a1 noun people
