id	front	definition	example	translation	tags
pt-b2-001	abrangente (adj.)	que cobre muitos aspectos	Fizemos uma análise abrangente.	amplio, exhaustivo	b2 adj awl
pt-b2-002	viável (adj.)	que pode ser realizado	A proposta não é viável.	viable	b2 adj awl
pt-b2-003	inevitável (adj.)	que não se pode evitar	O confronto era inevitável.	inevitable	b2 adj
pt-b2-004	imprescindível (adj.)	absolutamente necessário	Sua presença é imprescindível.	imprescindible	b2 adj
pt-b2-005	relevante (adj.)	importante para o caso	O dado não é relevante aqui.	relevante	b2 adj awl
pt-b2-006	polêmico (adj.)	que gera discussão	A decisão foi polêmica.	polémico	b2 adj
pt-b2-007	sutil (adj.)	pouco perceptível, delicado	Há uma diferença sutil entre os dois.	sutil	b2 adj
pt-b2-008	ambíguo (adj.)	com mais de um sentido	A resposta foi ambígua.	ambiguo	b2 adj awl
pt-b2-009	coerente (adj.)	sem contradição interna	O argumento é coerente.	coherente	b2 adj awl
pt-b2-010	pertinente (adj.)	adequado ao assunto	Fez uma pergunta pertinente.	pertinente	b2 adj awl
pt-b2-011	subjacente (adj.)	que está por baixo, implícito	Existe um problema subjacente.	subyacente	b2 adj awl
pt-b2-012	arraigado (adj.)	fixado profundamente	É um hábito arraigado na cultura.	arraigado	b2 adj
pt-b2-013	incipiente (adj.)	que está no início	O mercado é ainda incipiente.	incipiente	b2 adj
pt-b2-014	consolidar (v.)	tornar firme e duradouro	A empresa consolidou sua posição.	consolidar	b2 verb awl
pt-b2-015	ressalvar (v.)	fazer uma exceção ou reserva	Ressalvo que os dados são parciais.	salvar, matizar	b2 verb
pt-b2-016	atribuir (v.)	dar como causa ou mérito	Atribuem o erro à pressa.	atribuir	b2 verb awl
pt-b2-017	acarretar (v.)	trazer como consequência	A mudança acarretou custos.	acarrear, conllevar	b2 verb
pt-b2-018	desencadear (v.)	provocar uma série de efeitos	A notícia desencadeou protestos.	desencadenar	b2 verb
pt-b2-019	mitigar (v.)	reduzir a intensidade	Medidas para mitigar o impacto.	mitigar	b2 verb awl
pt-b2-020	prescindir (v.)	dispensar (prescindir DE)	Não podemos prescindir dela.	prescindir	b2 verb preposition
pt-b2-021	incorrer (v.)	cair em (erro, custo)	Incorremos em despesas extras.	incurrir	b2 verb
