id	front	definition	example	translation	tags
a2-001	although (conj)	in spite of the fact that	Although he was tired, he kept working.	aunque	a2 conjunction top200
a2-002	however (adv)	on the other hand	It rained; however, we went out.	sin embargo	a2 adverb top200
a2-003	already (adv)	by now	I have already eaten.	ya	a2 adverb top200
a2-004	yet (adv)	until now	I haven't finished yet.	todavía	a2 adverb top200
a2-005	borrow (v)	to take temporarily	Can I borrow your pen?	pedir prestado	a2 verb top500
a2-006	lend (v)	to give temporarily	She lent me her car.	prestar	a2 verb irregular top500
a2-007	complain (v)	to express dissatisfaction	He complained about the noise.	quejarse	a2 verb top500
a2-008	explain (v)	to make clear	Can you explain that again?	explicar	a2 verb top500
a2-009	suggest (v)	to propose	I suggest we leave now.	sugerir	a2 verb top500
a2-010	decide (v)	to make a choice	I decided to stay.	decidir	a2 verb top500
a2-011	believe (v)	to accept as true	I believe you.	creer	a2 verb top500
a2-012	forget (v)	to fail to remember	Don't forget your keys.	olvidar	a2 verb irregular top500
a2-013	hope (v)	to wish for	I hope you can come.	esperar (deseo)	a2 verb top200
a2-014	meeting (n)	a gathering of people	The meeting starts at 10.	reunión	a2 noun top500
a2-015	problem (n)	a difficult situation	We need to solve this problem.	problema	a2 noun top200
a2-016	experience (n)	knowledge gained from doing	She has lots of experience.	experiencia	a2 noun top500
a2-017	opinion (n)	a personal view	In my opinion, it's wrong.	opinión	a2 noun top500
a2-018	difference (n)	a way in which things are not the same	What's the difference?	diferencia	a2 noun top500
a2-019	reason (n)	a cause or explanation	What was the reason?	razón	a2 noun top200
a2-020	crowded (adj)	full of people	The bus was crowded.	abarrotado	a2 adjective top1000
a2-021	embarrassed (adj)	feeling ashamed or awkward	I was embarrassed by my mistake.	avergonzado	a2 adjective top1000
a2-022	available (adj)	able to be used	The book is available online.	disponible	a2 adjective top500
a2-023	expensive (adj)	costing a lot	An expensive car.	caro	a2 adjective top500
a2-024	important (adj)	of great significance	This is important.	importante	a2 adjective top200
a2-025	quickly (adv)	in a fast way	She ran quickly.	rápidamente	a2 adverb top500
a2-026	finally (adv)	in the end	He finally arrived.	finalmente	a2 adverb top500
a2-027	recently (adv)	a short time ago	I saw her recently.	recientemente	a2 adverb top500
a2-028	perhaps (adv)	maybe	Perhaps she's right.	quizás	a2 adverb top500
a2-029	either (det)	one or the other	You can take either road.	cualquiera (de dos)	a2 determiner top500
a2-030	neither (det)	not one and not the other	Neither answer is correct.	ninguno (de dos)	a2 determiner top1000
a2-031	get along with (phr)	to have a good relationship with	I get along with my coworkers.	llevarse bien con	a2 phrasal-verb
a2-032	look after (phr)	to take care of	She looks after her brother.	cuidar de	a2 phrasal-verb
