id	front	definition	example	translation	tags
zh-a1-001	你 (nǐ)	第二人称，说话的对象 (dì-èr rénchēng)	你好！你是老师吗？(Nǐ hǎo! Nǐ shì lǎoshī ma?)	tú	a1 pronoun hsk1 top100
zh-a1-002	我 (wǒ)	第一人称，说话的人	我是学生。(Wǒ shì xuésheng.)	yo	a1 pronoun hsk1 top100
zh-a1-003	他 (tā)	第三人称，男的	他是我朋友。(Tā shì wǒ péngyou.)	él	a1 pronoun hsk1 top100
zh-a1-004	她 (tā)	第三人称，女的（发音和"他"一样）	她是我妈妈。(Tā shì wǒ māma.)	ella	a1 pronoun hsk1 top100
zh-a1-005	我们 (wǒmen)	我和别人，复数	我们是同学。(Wǒmen shì tóngxué.)	nosotros	a1 pronoun hsk1
zh-a1-006	好 (hǎo)	不坏，让人满意；也用来打招呼	你好！今天天气很好。(Nǐ hǎo! Jīntiān tiānqì hěn hǎo.)	bueno, bien	a1 adj hsk1 top100
zh-a1-007	是 (shì)	表示"等于"、"属于"（A 是 B）	我是哥伦比亚人。(Wǒ shì Gēlúnbǐyà rén.)	ser (A es B)	a1 verb hsk1 top100 grammar
zh-a1-008	不 (bù)	否定词，放在动词或形容词前面	我不是老师。我不忙。(Wǒ bú shì lǎoshī. Wǒ bù máng.)	no (negación)	a1 adv hsk1 top100 grammar
zh-a1-009	吗 (ma)	放在句子最后，把句子变成问题	你是学生吗？(Nǐ shì xuésheng ma?)	¿…? (partícula interrogativa)	a1 particle hsk1 top100 grammar
zh-a1-010	的 (de)	表示"…的"，连接所有者和东西	这是我的书。(Zhè shì wǒ de shū.)	de (posesivo)	a1 particle hsk1 top100 grammar
zh-a1-011	人 (rén)	人类；也表示国籍："中国人"	他是中国人。(Tā shì Zhōngguó rén.)	persona; gente	a1 noun hsk1 top100
zh-a1-012	名字 (míngzi)	一个人叫什么	你叫什么名字？(Nǐ jiào shénme míngzi?)	nombre	a1 noun hsk1
zh-a1-013	叫 (jiào)	有…的名字；喊	我叫李华。(Wǒ jiào Lǐ Huá.)	llamarse	a1 verb hsk1 top100
zh-a1-014	什么 (shénme)	问东西是哪个	这是什么？(Zhè shì shénme?)	qué	a1 pronoun hsk1 top100 question
zh-a1-015	谁 (shéi)	问人是哪个	他是谁？(Tā shì shéi?)	quién	a1 pronoun hsk1 question
zh-a1-016	哪儿 (nǎr)	问地方在哪个位置	你在哪儿？(Nǐ zài nǎr?)	dónde	a1 pronoun hsk1 question
