id	front	definition	example	translation	tags
zh-b1-001	发展 (fāzhǎn)	变得更大更好	公司发展得很快。(Gōngsī fāzhǎn de hěn kuài.)	desarrollar(se)	b1 verb hsk3 work
zh-b1-002	提高 (tígāo)	使水平上升	我要提高汉语水平。(Wǒ yào tígāo Hànyǔ shuǐpíng.)	elevar, mejorar	b1 verb hsk3
zh-b1-003	降低 (jiàngdī)	使水平下降	成本降低了。(Chéngběn jiàngdī le.)	reducir	b1 verb hsk3
zh-b1-004	增加 (zēngjiā)	变多	人数增加了。(Rénshù zēngjiā le.)	aumentar	b1 verb hsk3
zh-b1-005	减少 (jiǎnshǎo)	变少	费用减少了。(Fèiyòng jiǎnshǎo le.)	disminuir	b1 verb hsk3
zh-b1-006	改变 (gǎibiàn)	使不一样	这改变了一切。(Zhè gǎibiàn le yíqiè.)	cambiar	b1 verb hsk3
zh-b1-007	解决 (jiějué)	把问题处理好	我们解决了问题。(Wǒmen jiějué le wèntí.)	resolver	b1 verb hsk3
zh-b1-008	影响 (yǐngxiǎng)	对别的事产生作用	天气影响了收成。(Tiānqì yǐngxiǎng le shōucheng.)	influir; influencia	b1 verb hsk3
zh-b1-009	引起 (yǐnqǐ)	使某事发生	这引起了讨论。(Zhè yǐnqǐ le tǎolùn.)	provocar	b1 verb hsk3
zh-b1-010	造成 (zàochéng)	带来（不好的结果）	造成了很大损失。(Zàochéng le hěn dà sǔnshī.)	causar	b1 verb hsk3
zh-b1-011	避免 (bìmiǎn)	不让发生	要避免这个错误。(Yào bìmiǎn zhège cuòwù.)	evitar	b1 verb hsk3
zh-b1-012	面对 (miànduì)	不逃避地处理	我们要面对现实。(Wǒmen yào miànduì xiànshí.)	afrontar	b1 verb hsk3
zh-b1-013	超过 (chāoguò)	多于	结果超过了预期。(Jiéguǒ chāoguò le yùqī.)	superar	b1 verb hsk3
zh-b1-014	达到 (dádào)	到了某个水平	达到了目标。(Dádào le mùbiāo.)	alcanzar	b1 verb hsk3
zh-b1-015	强调 (qiángdiào)	特别指出	我强调两点。(Wǒ qiángdiào liǎng diǎn.)	enfatizar	b1 verb hsk3
zh-b1-016	建议 (jiànyì)	提出想法	我建议推迟。(Wǒ jiànyì tuīchí.)	sugerir; sugerencia	b1 verb hsk3
zh-b1-017	拒绝 (jùjué)	不接受	我拒绝了这个提议。(Wǒ jùjué le zhège tíyì.)	rechazar	b1 verb hsk3
zh-b1-018	承认 (chéngrèn)	说自己错了或事实如此	我承认我错了。(Wǒ chéngrèn wǒ cuò le.)	admitir	b1 verb hsk3
zh-b1-019	发现 (fāxiàn)	注意到，找到	我发现他很紧张。(Wǒ fāxiàn tā hěn jǐnzhāng.)	darse cuenta, descubrir	b1 verb hsk3
zh-b1-020	出现 (chūxiàn)	变得可见	出现了新问题。(Chūxiàn le xīn wèntí.)	aparecer	b1 verb hsk3
zh-b1-021	放弃 (fàngqì)	不再继续	别放弃！(Bié fàngqì!)	rendirse, abandonar	b1 verb hsk3
