analyse (v)	to examine in detail	Scientists analyse the data carefully.	analizar	b1 awl sublist1
approach (n/v)	a way of dealing with; to come near	Her approach to the problem was original.	enfoque/acercarse	b1 awl sublist1
area (n)	a region or topic	This is an area of research I enjoy.	área	a2 awl sublist1
assess (v)	to evaluate	The teacher will assess your essay.	evaluar	b1 awl sublist1
assume (v)	to take for granted	I assume you've read the book.	asumir/dar por sentado	b1 awl sublist1
authority (n)	power; an expert	She is an authority on linguistics.	autoridad	b1 awl sublist1
available (adj)	able to be used	The book is available online.	disponible	b1 awl sublist1
benefit (n/v)	advantage; to gain	The benefits of exercise are clear.	beneficio	b1 awl sublist1
concept (n)	an abstract idea	The concept is hard to grasp.	concepto	b1 awl sublist1
consist (v)	to be made up of	Water consists of hydrogen and oxygen.	consistir en	b1 awl sublist1
context (n)	the situation surrounding an event	In this context, that word means "happy".	contexto	b1 awl sublist1
contract (n/v)	a legal agreement; to shrink	Sign the contract here.	contrato/contraer	b1 awl sublist1
create (v)	to make something new	He created a new app.	crear	a2 awl sublist1
data (n)	information, facts	The data show a clear trend.	datos	b1 awl sublist1
define (v)	to state the meaning of	Define your terms.	definir	b1 awl sublist1
derive (v)	to obtain from a source	The word derives from Latin.	derivar	b2 awl sublist1
distribute (v)	to give out	They distributed leaflets.	distribuir	b1 awl sublist1
economy (n)	the wealth system of a country	The economy is growing.	economía	b1 awl sublist1
environment (n)	surroundings; nature	A friendly work environment.	ambiente/entorno	b1 awl sublist1
establish (v)	to set up; to prove	The company was established in 1990.	establecer	b1 awl sublist1
estimate (n/v)	an approximate calculation	Estimate the cost first.	estimación/estimar	b1 awl sublist1
evident (adj)	obvious	It was evident she was tired.	evidente	b2 awl sublist1
factor (n)	an element contributing to a result	Money is one factor.	factor	b1 awl sublist1
finance (n/v)	money management; to fund	I work in finance.	finanzas/financiar	b1 awl sublist1
formula (n)	a mathematical rule; a fixed method	The formula is on the board.	fórmula	b1 awl sublist1
function (n/v)	purpose; to operate	What is the function of this button?	función/funcionar	b1 awl sublist1
identify (v)	to recognize	Identify the main idea.	identificar	b1 awl sublist1
income (n)	money received	My income is sufficient.	ingresos	b1 awl sublist1
