time (n)	a point or period when something happens	I don't have time to talk now.	tiempo	a1 noun top100
person (n)	a human being	She is a kind person.	persona	a1 noun top100
year (n)	a period of 365 days	I lived there for two years.	año	a1 noun top100
day (n)	a period of 24 hours	What a beautiful day!	día	a1 noun top100
thing (n)	an object or matter	I have one more thing to say.	cosa	a1 noun top100
world (n)	the Earth and all its people	English is spoken around the world.	mundo	a1 noun top100
life (n)	the existence of a person	She has had an interesting life.	vida	a1 noun top100
hand (n)	the body part at the end of your arm	He held my hand.	mano	a1 noun top100
child (n)	a young human	The child was sleeping.	niño/a	a1 noun top100 irregular-plural
woman (n)	an adult female person	The woman next door is a doctor.	mujer	a1 noun top100
man (n)	an adult male person	The man at the door asked for you.	hombre	a1 noun top100
house (n)	a building where people live	They bought a new house.	casa	a1 noun top100
water (n)	the transparent liquid we drink	A glass of water, please.	agua	a1 noun top100
food (n)	what you eat	Italian food is delicious.	comida	a1 noun top100
family (n)	parents and children	My family lives in Spain.	familia	a1 noun top100
be (v)	to exist or have a state	She is happy today.	ser/estar	a1 verb irregular top10
have (v)	to possess	I have a brother.	tener	a1 verb irregular top10
do (v)	to perform an action	What do you do for work?	hacer	a1 verb irregular top10
go (v)	to move or travel	Let's go to the park.	ir	a1 verb irregular top20
get (v)	to obtain or receive	I got a new phone.	obtener	a1 verb irregular top20
make (v)	to create	She makes great coffee.	hacer/fabricar	a1 verb irregular top20
see (v)	to perceive with the eyes	I can see you.	ver	a1 verb irregular top20
come (v)	to move toward the speaker	Come here, please.	venir	a1 verb irregular top20
eat (v)	to consume food	What do you want to eat?	comer	a1 verb irregular top50
drink (v)	to consume liquid	Drink more water.	beber	a1 verb irregular top50
sleep (v)	to rest by closing eyes	I sleep eight hours.	dormir	a1 verb irregular top100
work (v)	to perform a job	I work in an office.	trabajar	a1 verb top30
live (v)	to be alive; to reside	I live in Madrid.	vivir	a1 verb top50
want (v)	to desire	I want a coffee.	querer	a1 verb top30
like (v)	to find pleasant	I like chocolate.	gustar	a1 verb top30
