temps (n.m.)	ce qui passe en heures et en jours ; aussi la météo	Je n'ai pas le temps de parler maintenant.	tiempo	a1 noun top100
personne (n.f.)	un être humain	C'est une personne très gentille.	persona	a1 noun top100
an / année (n.)	période de douze mois	J'habite ici depuis deux ans.	año	a1 noun top100
jour (n.m.)	période de vingt-quatre heures	Quel jour sommes-nous ?	día	a1 noun top100
chose (n.f.)	un objet ou un sujet quelconque	J'ai une chose à te dire.	cosa	a1 noun top100
homme (n.m.)	personne adulte de sexe masculin	Cet homme est mon père.	hombre	a1 noun top100
femme (n.f.)	personne adulte de sexe féminin ; aussi l'épouse	La femme au chapeau est ma tante.	mujer; esposa	a1 noun top100
maison (n.f.)	bâtiment où on habite	Ma maison est près de la mer.	casa	a1 noun top100
travail (n.m.)	activité qu'on fait pour gagner de l'argent	Je vais au travail en bus.	trabajo	a1 noun top100
vie (n.f.)	le temps pendant lequel quelqu'un vit	La vie à Paris est chère.	vida	a1 noun top100
main (n.f.)	partie du corps au bout du bras	Lave-toi les mains avant de manger.	mano	a1 noun body
enfant (n.)	personne très jeune, garçon ou fille	Les enfants jouent dans le parc.	niño, niña	a1 noun family
œil / yeux (n.m.)	organe de la vue (pluriel irrégulier : yeux)	Elle a les yeux verts.	ojo	a1 noun body
endroit (n.m.)	un lieu, une place	C'est un bon endroit pour manger.	lugar	a1 noun top100
semaine (n.f.)	période de sept jours	Je travaille cinq jours par semaine.	semana	a1 noun time
famille (n.f.)	parents, enfants et proches	Ma famille est grande.	familia	a1 noun family
problème (n.m.)	une difficulté (attention : masculin)	Pas de problème, j'attends.	problema	a1 noun top100 gender
ami / amie (n.)	personne qu'on aime bien et en qui on a confiance	Mon ami habite à Lyon.	amigo, amiga	a1 noun people
argent (n.m.)	pièces et billets pour acheter	Je n'ai pas assez d'argent.	dinero	a1 noun top100 falsefriend
eau (n.f.)	liquide transparent qu'on boit	Un verre d'eau, s'il vous plaît.	agua	a1 noun food
nourriture (n.f.)	ce qu'on mange	La nourriture française est délicieuse.	comida	a1 noun food
ville (n.f.)	grand lieu avec beaucoup de maisons et de gens	Marseille est une grande ville.	ciudad	a1 noun places
rue (n.f.)	voie avec des maisons des deux côtés	J'habite rue des Fleurs.	calle	a1 noun places
voiture (n.f.)	véhicule à quatre roues	Ma voiture est au garage.	coche	a1 noun transport
bus (n.m.)	grand véhicule pour beaucoup de passagers	Le bus passe à huit heures.	autobús	a1 noun transport
école (n.f.)	lieu où les enfants apprennent	L'école commence à huit heures et demie.	escuela	a1 noun places
livre (n.m.)	pages avec du texte à lire	Je lis un livre en français.	libro	a1 noun objects
nom (n.m.)	mot qui identifie une personne	Quel est votre nom ?	nombre; apellido	a1 noun top100
heure (n.f.)	soixante minutes ; aussi le moment de la journée	Quelle heure est-il ? Il est deux heures.	hora	a1 noun time
nuit (n.f.)	période sombre de la journée	Bonne nuit ! À demain.	noche	a1 noun time
matin (n.m.)	première partie de la journée	Je me lève à six heures du matin.	mañana (parte del día)	a1 noun time
après-midi (n.m.)	partie de la journée entre midi et le soir	Cet après-midi, je travaille.	tarde	a1 noun time
soir (n.m.)	fin de la journée, avant la nuit	Bonsoir ! Ce soir, on mange dehors.	tarde-noche	a1 noun time
mois (n.m.)	période d'environ quatre semaines	Je voyage le mois prochain.	mes	a1 noun time
père (n.m.)	homme qui a des enfants	Mon père est médecin.	padre	a1 noun family
mère (n.f.)	femme qui a des enfants	Ma mère cuisine très bien.	madre	a1 noun family
fils (n.m.)	enfant garçon par rapport à ses parents (le s ne se prononce pas)	Ils ont deux fils.	hijo	a1 noun family
frère (n.m.)	garçon des mêmes parents	Mon frère est plus âgé que moi.	hermano	a1 noun family
pays (n.m.)	nation, territoire avec son gouvernement	La France est un pays d'Europe.	país	a1 noun places
gens (n.m.pl.)	les personnes en général (toujours au pluriel)	Il y a beaucoup de gens dans la rue.	gente	a1 noun top100
être (v.)	exister ; avoir une qualité	Je suis colombien. Elle est professeure.	ser, estar	a1 verb top100 irregular
avoir (v.)	posséder ; aussi l'âge	J'ai un frère. J'ai trente ans.	tener	a1 verb top100 irregular
faire (v.)	réaliser une action	Qu'est-ce que tu fais ce week-end ?	hacer	a1 verb top100 irregular
aller (v.)	se déplacer vers un lieu	Je vais au marché.	ir	a1 verb top100 irregular
pouvoir (v.)	avoir la permission ou la capacité	Je peux entrer ?	poder	a1 verb top100 irregular
dire (v.)	exprimer avec des mots	Qu'est-ce que tu as dit ?	decir	a1 verb top100 irregular
voir (v.)	percevoir avec les yeux	Tu as vu le film ?	ver	a1 verb top100 irregular
donner (v.)	remettre quelque chose à quelqu'un	Elle m'a donné un cadeau.	dar	a1 verb top100
savoir (v.)	avoir une connaissance	Je ne sais pas la réponse.	saber	a1 verb top100 irregular
vouloir (v.)	désirer	Je voudrais un café, s'il vous plaît.	querer	a1 verb top100 irregular
venir (v.)	se déplacer vers ici	Tu viens avec nous ?	venir	a1 verb top100 irregular
prendre (v.)	saisir ; utiliser un transport ; consommer	Je prends le bus. Je prends un café.	tomar, coger	a1 verb top100 irregular keyverb
parler (v.)	utiliser la voix pour dire quelque chose	Vous parlez très bien français.	hablar	a1 verb top100
manger (v.)	prendre de la nourriture	On mange une pizza ce soir ?	comer	a1 verb food
boire (v.)	prendre un liquide	Je bois du café tous les matins.	beber	a1 verb food irregular
habiter (v.)	vivre dans un lieu	Où est-ce que tu habites ?	vivir (en un lugar)	a1 verb top100
aimer (v.)	avoir du plaisir avec quelque chose ; aimer quelqu'un	J'aime la musique française.	gustar; amar	a1 verb top100
travailler (v.)	exercer une activité professionnelle	Je travaille dans une banque.	trabajar	a1 verb work
étudier (v.)	apprendre	J'étudie le français le soir.	estudiar	a1 verb school
ouvrir (v.)	faire qu'une chose ne soit plus fermée	Tu peux ouvrir la fenêtre ?	abrir	a1 verb irregular
fermer (v.)	le contraire d'ouvrir	Le magasin ferme à six heures.	cerrar	a1 verb
acheter (v.)	obtenir en payant	Je dois acheter du pain.	comprar	a1 verb shopping
payer (v.)	donner de l'argent pour quelque chose	Je peux payer par carte ?	pagar	a1 verb shopping
avoir besoin de (loc.)	nécessiter	J'ai besoin d'aide.	necesitar	a1 verb top100 chunk
trouver (v.)	découvrir ce qu'on cherchait ; avoir une opinion	J'ai trouvé la clé. Je trouve ça bien.	encontrar; parecer (opinión)	a1 verb top100 keyverb
comprendre (v.)	saisir le sens	Pardon, je n'ai pas compris.	entender	a1 verb top100 irregular
attendre (v.)	rester jusqu'à ce que quelque chose arrive	Attendez une minute, s'il vous plaît.	esperar (aguardar)	a1 verb falsefriend
aider (v.)	apporter son soutien	Vous pouvez m'aider ?	ayudar	a1 verb
se lever (v.)	sortir du lit	Je me lève tôt tous les jours.	levantarse	a1 verb routine reflexive
dormir (v.)	se reposer les yeux fermés	Je dors huit heures par nuit.	dormir	a1 verb routine irregular
chercher (v.)	essayer de trouver	Je cherche la gare.	buscar	a1 verb top100
demander (v.)	poser une question ; solliciter	Je peux vous demander quelque chose ?	preguntar; pedir	a1 verb top100
appeler (v.)	téléphoner ; donner un nom (s'appeler)	Je m'appelle Ana. Je t'appelle ce soir.	llamar(se)	a1 verb top100
bon / bonne (adj.)	de qualité positive	C'est un bon restaurant.	bueno	a1 adj top100
grand / grande (adj.)	de taille supérieure ; aussi haut	Ils habitent dans une grande maison.	grande; alto	a1 adj top100
petit / petite (adj.)	de taille inférieure	C'est un petit appartement mais joli.	pequeño	a1 adj top100
nouveau / nouvelle (adj.)	récent	J'ai acheté un nouveau téléphone.	nuevo	a1 adj top100
vieux / vieille (adj.)	qui a beaucoup d'années	Cet immeuble est très vieux.	viejo	a1 adj top100
beau / belle (adj.)	agréable à regarder	Quelle belle plage !	bonito, guapo	a1 adj
cher / chère (adj.)	qui coûte beaucoup ; aussi « estimé » dans une lettre	Cet hôtel est très cher.	caro; querido	a1 adj shopping
pas cher (loc.adj.)	qui coûte peu (le français n'a pas de mot courant pour « barato »)	J'ai trouvé un restaurant pas cher.	barato	a1 adj shopping chunk
chaud / chaude (adj.)	de température élevée	Le café est chaud.	caliente	a1 adj weather
froid / froide (adj.)	de température basse	Il fait froid aujourd'hui.	frío	a1 adj weather
fatigué / fatiguée (adj.)	sans énergie	Je suis très fatiguée aujourd'hui.	cansado	a1 adj feelings
content / contente (adj.)	qui ressent de la joie	Elle est contente de son nouveau travail.	contento	a1 adj feelings
facile (adj.)	qui n'est pas difficile	Le français est facile pour toi ?	fácil	a1 adj
difficile (adj.)	qui demande un effort	L'examen était difficile.	difícil	a1 adj
vrai / vraie (adj.)	conforme à la réalité	C'est vrai ? Oui, c'est vrai.	verdadero, cierto	a1 adj top100
faux / fausse (adj.)	incorrect	Ce numéro est faux.	falso, equivocado	a1 adj
très (adv.)	à un haut degré (devant un adjectif)	Je suis très fatigué.	muy	a1 adv top100
