réussir (v.)	arriver à faire (réussir À)	J'ai réussi à le convaincre.	lograr, conseguir	a2 verb top500 preposition
arriver (v.)	venir à un lieu ; se produire	Qu'est-ce qui est arrivé ?	llegar; pasar	a2 verb top500 keyverb
laisser (v.)	permettre ; abandonner	Laisse-moi voir. J'ai laissé mes clés.	dejar	a2 verb top500 keyverb
emmener / apporter (v.)	emmener une personne, apporter une chose	Je t'emmène. J'apporte le dessert.	llevar	a2 verb top500 keyword
perdre (v.)	ne plus avoir ; manquer	J'ai perdu mes clés. J'ai perdu le bus.	perder	a2 verb top500
gagner (v.)	recevoir de l'argent ; vaincre	Je gagne deux mille euros par mois.	ganar	a2 verb work
garder (v.)	conserver ; surveiller	Gardez la monnaie.	guardar; cuidar	a2 verb
changer (v.)	rendre différent ; déménager	Nous avons changé d'appartement.	cambiar	a2 verb
améliorer (v.)	rendre meilleur	Mon français s'est amélioré.	mejorar	a2 verb
essayer (v.)	faire un effort pour (essayer DE)	J'ai essayé de t'appeler.	intentar	a2 verb preposition
sembler (v.)	donner l'impression	Il semble qu'il va pleuvoir.	parecer	a2 verb top500
se souvenir (v.)	garder en mémoire (se souvenir DE)	Je me souviens de toi.	recordar, acordarse	a2 verb preposition reflexive
oublier (v.)	perdre de la mémoire	J'ai oublié son nom.	olvidar	a2 verb
sentir (v.)	percevoir ; avoir une odeur	Je sens le froid. Ça sent bon.	sentir; oler	a2 verb keyverb
grandir (v.)	devenir plus grand	Les enfants grandissent vite.	crecer	a2 verb
naître (v.)	venir au monde	Je suis né à Medellín.	nacer	a2 verb irregular
mourir (v.)	cesser de vivre	Mon grand-père est mort l'an dernier.	morir	a2 verb irregular
vivre (v.)	être en vie ; habiter	Je vis bien ici.	vivir	a2 verb irregular
recevoir (v.)	obtenir ce qu'on envoie	J'ai reçu ton message.	recibir	a2 verb irregular
envoyer (v.)	faire parvenir	Je vais envoyer un mail.	enviar	a2 verb
utiliser (v.)	employer	J'utilise des lunettes pour lire.	usar	a2 verb
porter (v.)	tenir ; avoir sur soi (vêtement)	Elle porte une robe bleue.	llevar (puesto)	a2 verb keyverb
enlever (v.)	retirer	Enlève ta veste, il fait chaud.	quitar	a2 verb
mettre (v.)	placer ; mettre un vêtement	J'ai mis le livre sur la table.	poner	a2 verb irregular keyverb
marcher (v.)	aller à pied ; fonctionner	Ça ne marche pas.	andar; funcionar	a2 verb keyverb
courir (v.)	se déplacer vite	Je cours au parc le matin.	correr	a2 verb irregular sport
monter (v.)	aller vers le haut ; monter dans un bus	Je monte les escaliers.	subir	a2 verb
descendre (v.)	aller vers le bas ; descendre du bus	Je descends au prochain arrêt.	bajar	a2 verb transport
entrer (v.)	passer à l'intérieur	Je suis entré doucement.	entrar	a2 verb
sortir (v.)	aller dehors	Je sors du travail à six heures.	salir	a2 verb irregular
rentrer (v.)	revenir chez soi	Je rentre à huit heures.	volver a casa	a2 verb keyword
avoir envie de (loc.)	désirer	J'ai envie d'un café.	tener ganas de	a2 verb chunk
avoir l'air (loc.)	sembler	Tu as l'air fatigué.	tener pinta de, parecer	a2 verb chunk
avoir mal à (loc.)	ressentir une douleur	J'ai mal à la tête.	dolerle algo	a2 verb chunk health
être en train de (loc.)	action en cours	Je suis en train de manger.	estar + gerundio	a2 verb chunk grammar
valoir la peine (loc.)	mériter l'effort	Ça vaut la peine de visiter Lyon.	valer la pena	a2 verb chunk
faire attention (loc.)	être prudent (faire attention À)	Fais attention à la marche !	tener cuidado	a2 verb chunk
se rendre compte (loc.)	percevoir (se rendre compte DE)	Je me suis rendu compte de l'erreur.	darse cuenta	a2 verb chunk
être pressé (loc.)	avoir peu de temps	Je suis pressé, désolé.	tener prisa	a2 verb chunk
avoir faim / soif (loc.)	besoin de manger / boire	J'ai faim et j'ai soif.	tener hambre / sed	a2 verb chunk
santé (n.f.)	état du corps	Je prends soin de ma santé.	salud	a2 noun health
maladie (n.f.)	problème de santé	Il a eu une maladie grave.	enfermedad	a2 noun health
douleur (n.f.)	sensation physique pénible	La douleur a disparu.	dolor	a2 noun health
médicament (n.m.)	produit pour soigner	J'ai pris le médicament à huit heures.	medicamento	a2 noun health
rendez-vous (n.m.)	heure convenue	J'ai un rendez-vous mardi.	cita	a2 noun health
ordonnance (n.f.)	prescription du médecin	Le médecin m'a fait une ordonnance.	receta médica	a2 noun health
corps (n.m.)	organisme physique	Le sport est bon pour le corps.	cuerpo	a2 noun body
tête (n.f.)	partie haute du corps	J'ai mal à la tête.	cabeza	a2 noun body
