tempo (s.m.)	ciò che passa in ore e giorni; anche il clima	Non ho tempo di parlare adesso.	tiempo	a1 noun top100
persona (s.f.)	un essere umano	È una persona molto gentile.	persona	a1 noun top100
anno (s.m.)	periodo di dodici mesi	Abito qui da due anni.	año	a1 noun top100
giorno (s.m.)	periodo di ventiquattro ore	Che giorno è oggi?	día	a1 noun top100
cosa (s.f.)	un oggetto o un argomento qualsiasi	Ho una cosa da dirti.	cosa	a1 noun top100
uomo / uomini (s.m.)	persona adulta di sesso maschile (plurale irregolare)	Quell'uomo è mio padre.	hombre	a1 noun top100 irregular
donna (s.f.)	persona adulta di sesso femminile	La donna con il cappello è mia zia.	mujer	a1 noun top100
casa (s.f.)	edificio dove si abita	La mia casa è vicino al mare.	casa	a1 noun top100
lavoro (s.m.)	attività che si fa per guadagnare	Vado al lavoro in autobus.	trabajo	a1 noun top100
vita (s.f.)	il tempo in cui qualcuno vive	La vita in città è frenetica.	vida	a1 noun top100
mano / mani (s.f.)	parte del corpo alla fine del braccio (femminile in -o)	Lavati le mani prima di mangiare.	mano	a1 noun body gender
bambino / bambina (s.)	persona molto giovane	I bambini giocano al parco.	niño, niña	a1 noun family
occhio (s.m.)	organo della vista	Ha gli occhi verdi.	ojo	a1 noun body
posto (s.m.)	un luogo; anche un posto a sedere	È un bel posto per mangiare. C'è posto?	lugar; sitio, asiento	a1 noun top100
settimana (s.f.)	periodo di sette giorni	Lavoro cinque giorni alla settimana.	semana	a1 noun time
famiglia (s.f.)	genitori, figli e parenti	La mia famiglia è numerosa.	familia	a1 noun family
problema (s.m.)	una difficoltà (maschile, plurale problemi)	Nessun problema, aspetto.	problema	a1 noun top100 gender
amico / amica (s.)	persona cara e di fiducia	Il mio amico abita a Napoli.	amigo, amiga	a1 noun people
soldi (s.m.pl.)	denaro, monete e banconote (plurale)	Non ho abbastanza soldi.	dinero	a1 noun top100
acqua (s.f.)	liquido trasparente che si beve	Un bicchiere d'acqua, per favore.	agua	a1 noun food
cibo (s.m.)	quello che si mangia	Il cibo italiano è delizioso.	comida	a1 noun food
città (s.f.)	luogo grande con molte case e persone (invariabile)	Roma è una città enorme.	ciudad	a1 noun places
strada (s.f.)	via con case ai due lati	Abito in una strada tranquilla.	calle, carretera	a1 noun places
macchina (s.f.)	automobile (anche: qualsiasi macchina)	La mia macchina è in garage.	coche	a1 noun transport
autobus (s.m.)	grande veicolo per molti passeggeri (invariabile)	L'autobus passa alle otto.	autobús	a1 noun transport
scuola (s.f.)	luogo dove i bambini imparano	La scuola comincia alle otto.	escuela	a1 noun places
libro (s.m.)	pagine con testo da leggere	Sto leggendo un libro in italiano.	libro	a1 noun objects
nome (s.m.)	parola che identifica una persona	Come ti chiami? Qual è il tuo nome?	nombre	a1 noun top100
ora (s.f.)	sessanta minuti; anche il momento del giorno	Che ore sono? Sono le due.	hora	a1 noun time
notte (s.f.)	parte scura del giorno	Buonanotte! A domani.	noche	a1 noun time
mattina (s.f.)	prima parte del giorno	Mi alzo alle sei di mattina.	mañana (parte del día)	a1 noun time
pomeriggio (s.m.)	parte del giorno tra mezzogiorno e sera	Oggi pomeriggio lavoro.	tarde	a1 noun time
sera (s.f.)	fine della giornata, prima della notte	Buonasera! Stasera mangiamo fuori.	tarde-noche	a1 noun time
mese (s.m.)	periodo di circa quattro settimane	Viaggio il mese prossimo.	mes	a1 noun time
padre (s.m.)	uomo che ha figli	Mio padre è medico.	padre	a1 noun family
madre (s.f.)	donna che ha figli	Mia madre cucina benissimo.	madre	a1 noun family
figlio / figlia (s.)	bambino rispetto ai genitori	Hanno due figli.	hijo, hija	a1 noun family
fratello (s.m.)	figlio degli stessi genitori	Mio fratello è più grande di me.	hermano	a1 noun family
cognome (s.m.)	nome di famiglia	Il mio cognome è Rossi.	apellido	a1 noun
paese (s.m.)	nazione; anche un piccolo centro abitato	L'Italia è un paese bellissimo. Vengo da un piccolo paese.	país; pueblo	a1 noun places keyword
essere (v.)	esistere; avere una qualità	Sono colombiano. Lei è insegnante.	ser, estar	a1 verb top100 irregular
avere (v.)	possedere; anche l'età	Ho un fratello. Ho trent'anni.	tener	a1 verb top100 irregular
fare (v.)	realizzare un'azione	Che cosa fai nel fine settimana?	hacer	a1 verb top100 irregular
andare (v.)	spostarsi verso un luogo	Vado al mercato adesso.	ir	a1 verb top100 irregular
potere (v.)	avere il permesso o la capacità	Posso entrare?	poder	a1 verb top100 irregular
dire (v.)	esprimere con parole	Che cosa hai detto?	decir	a1 verb top100 irregular
vedere (v.)	percepire con gli occhi	Hai visto il film?	ver	a1 verb top100 irregular
dare (v.)	consegnare qualcosa a qualcuno	Mi ha dato un regalo.	dar	a1 verb top100 irregular
sapere (v.)	avere conoscenza	Non so la risposta.	saber	a1 verb top100 irregular
volere (v.)	desiderare	Vorrei un caffè, per favore.	querer	a1 verb top100 irregular
venire (v.)	spostarsi verso qui	Vieni con noi?	venir	a1 verb top100 irregular
prendere (v.)	afferrare; usare un mezzo; consumare	Prendo l'autobus. Prendo un caffè.	tomar, coger	a1 verb top100 keyverb
parlare (v.)	usare la voce per dire qualcosa	Parli molto bene italiano.	hablar	a1 verb top100
mangiare (v.)	prendere cibo	Mangiamo una pizza stasera?	comer	a1 verb food
bere (v.)	prendere un liquido	Bevo un caffè ogni mattina.	beber	a1 verb food irregular
abitare (v.)	vivere in un luogo	Dove abiti?	vivir (en un lugar)	a1 verb top100
piacere (v.)	dare piacere (costruzione: mi piace / mi piacciono)	Mi piace la musica italiana. Mi piacciono i gatti.	gustar	a1 verb top100 keyverb
lavorare (v.)	esercitare un'attività professionale	Lavoro in una banca.	trabajar	a1 verb work
studiare (v.)	imparare	Studio italiano la sera.	estudiar	a1 verb school
aprire (v.)	fare che una cosa non sia più chiusa	Puoi aprire la finestra?	abrir	a1 verb
chiudere (v.)	il contrario di aprire	Il negozio chiude alle sei.	cerrar	a1 verb
comprare (v.)	ottenere pagando	Devo comprare il pane.	comprar	a1 verb shopping
pagare (v.)	dare denaro per qualcosa	Posso pagare con la carta?	pagar	a1 verb shopping
avere bisogno di (loc.)	necessitare	Ho bisogno di aiuto.	necesitar	a1 verb top100 chunk
trovare (v.)	scoprire ciò che si cercava	Ho trovato le chiavi.	encontrar	a1 verb top100
capire (v.)	comprendere	Scusi, non ho capito.	entender	a1 verb top100
aspettare (v.)	restare finché qualcosa succede	Aspetta un minuto, per favore.	esperar (aguardar)	a1 verb
aiutare (v.)	dare sostegno	Mi puoi aiutare?	ayudar	a1 verb
alzarsi (v.)	uscire dal letto	Mi alzo presto tutti i giorni.	levantarse	a1 verb routine reflexive
dormire (v.)	riposare con gli occhi chiusi	Dormo otto ore per notte.	dormir	a1 verb routine
cercare (v.)	provare a trovare	Cerco la stazione.	buscar	a1 verb top100
chiedere (v.)	fare una domanda; domandare qualcosa	Posso chiederti una cosa?	preguntar; pedir	a1 verb top100
chiamarsi (v.)	avere come nome	Mi chiamo Ana. Come ti chiami?	llamarse	a1 verb top100 reflexive
buono / buona (adj.)	di qualità positiva; anche di sapore	È un buon ristorante. Questa pizza è buona!	bueno	a1 adj top100
grande (adj.)	di dimensione superiore; anche adulto	Abitano in una casa grande.	grande	a1 adj top100
piccolo / piccola (adj.)	di dimensione inferiore	È un appartamento piccolo ma bello.	pequeño	a1 adj top100
nuovo / nuova (adj.)	recente	Ho comprato un telefono nuovo.	nuevo	a1 adj top100
vecchio / vecchia (adj.)	che ha molti anni	Questo palazzo è molto vecchio.	viejo	a1 adj top100
bello / bella (adj.)	gradevole da vedere (forme come l'articolo: bel, bell', begli)	Che bella spiaggia! Un bel posto.	bonito, guapo	a1 adj keyword
caro / cara (adj.)	che costa molto; anche affettuoso	Questo hotel è molto caro. Cara Anna,	caro; querido	a1 adj shopping
economico / economica (adj.)	che costa poco	Ho trovato un ristorante economico.	barato	a1 adj shopping
caldo / calda (adj.)	di temperatura alta	Il caffè è caldo.	caliente	a1 adj weather
freddo / fredda (adj.)	di temperatura bassa	Oggi fa freddo a Torino.	frío	a1 adj weather
stanco / stanca (adj.)	senza energia	Oggi sono molto stanca.	cansado	a1 adj feelings
contento / contenta (adj.)	che sente gioia	È contenta del nuovo lavoro.	contento	a1 adj feelings
facile (adj.)	che non è difficile	L'italiano è facile per te?	fácil	a1 adj
difficile (adj.)	che richiede sforzo	L'esame era difficile.	difícil	a1 adj
giusto / giusta (adj.)	corretto; anche « esatto », « va bene »	La risposta è giusta. Giusto!	correcto; justo	a1 adj top100
sbagliato / sbagliata (adj.)	incorretto	Il numero è sbagliato.	equivocado	a1 adj
molto (avv./adj.)	in grande quantità o intensità	Mi piace molto. C'è molta gente.	muy, mucho	a1 adv top100
