sviluppare (v.)	far crescere, elaborare	L'azienda ha sviluppato un'applicazione.	desarrollar	b1 verb work
stabilire (v.)	fissare, creare formalmente	Abbiamo stabilito nuove regole.	establecer	b1 verb
presentare (v.)	mostrare; introdurre qualcuno	Presento il progetto domani.	presentar	b1 verb work
permettere (v.)	consentire; rendere possibile	Questo permette di risparmiare tempo.	permitir	b1 verb irregular
richiedere (v.)	esigere come necessario	Il posto richiede un buon inglese.	requerir, exigir	b1 verb work
garantire (v.)	assicurare	Garantisco che funzionerà.	garantizar	b1 verb
evitare (v.)	impedire che accada	Evito le ore di punta.	evitar	b1 verb
affrontare (v.)	far fronte a	Bisogna affrontare il problema.	afrontar	b1 verb
superare (v.)	andare oltre; vincere	I risultati hanno superato le attese.	superar	b1 verb
raggiungere (v.)	arrivare a; ottenere	Abbiamo raggiunto l'obiettivo.	alcanzar	b1 verb irregular
sottolineare (v.)	mettere in evidenza	Sottolineo due punti.	subrayar, destacar	b1 verb
suggerire (v.)	proporre un'idea	Suggerisco di rinviare.	sugerir	b1 verb
proporre (v.)	presentare come proposta	Hanno proposto una soluzione.	proponer	b1 verb irregular
rifiutare (v.)	non accettare	Ho rifiutato l'offerta.	rechazar	b1 verb
ammettere (v.)	riconoscere	Ammetto di aver sbagliato.	admitir	b1 verb irregular
notare (v.)	accorgersi di	Ho notato che era nervoso.	notar	b1 verb
comparire (v.)	diventare visibile	È comparso un problema.	aparecer	b1 verb irregular
rinunciare (v.)	abbandonare (rinunciare A)	Ha rinunciato al posto.	renunciar	b1 verb preposition
insistere (v.)	ripetere con costanza	Ha insistito per pagare.	insistir	b1 verb
dipendere (v.)	essere condizionato (dipendere DA)	Dipende dall'orario.	depender	b1 verb preposition
essere d'accordo (loc.)	condividere l'opinione	Sono d'accordo con te.	estar de acuerdo	b1 verb chunk
lamentarsi (v.)	esprimere insoddisfazione	Mi sono lamentato del servizio.	quejarse	b1 verb reflexive
ringraziare (v.)	esprimere gratitudine	Ringrazio tutti.	agradecer	b1 verb
approfittare (v.)	trarre vantaggio (approfittare DI)	Ho approfittato del ponte per riposare.	aprovechar	b1 verb preposition
investire (v.)	impiegare risorse	Hanno investito nella tecnologia.	invertir	b1 verb money
risparmiare (v.)	spendere meno	Risparmio per viaggiare.	ahorrar	b1 verb money
spendere (v.)	usare denaro	Ho speso troppo questo mese.	gastar	b1 verb irregular money
rimborsare (v.)	restituire il denaro	Mi hanno rimborsato il biglietto.	reembolsar	b1 verb money
restituire (v.)	dare indietro	Ho restituito il libro.	devolver	b1 verb
consegnare (v.)	dare in mano; far arrivare	Ho consegnato la relazione in tempo.	entregar	b1 verb work
rinviare (v.)	spostare a più tardi	Abbiamo rinviato la riunione.	posponer	b1 verb work
annullare (v.)	cancellare ciò che era previsto	Il volo è stato annullato.	cancelar	b1 verb
prendere appuntamento (loc.)	fissare un incontro	Ho preso appuntamento dal medico.	pedir cita	b1 verb chunk
metterci (v.)	impiegare tempo	Ci ho messo due ore.	tardar	b1 verb chunk keyverb
sfida (s.f.)	compito difficile e stimolante	Imparare l'italiano è stata una sfida.	desafío, reto	b1 noun
obiettivo (s.m.)	ciò che si vuole raggiungere	Il mio obiettivo è vivere in Italia.	objetivo	b1 noun
risultato (s.m.)	ciò che si ottiene	I risultati sono positivi.	resultado	b1 noun
conseguenza (s.f.)	effetto di qualcosa	Ne subiamo le conseguenze.	consecuencia	b1 noun
vantaggio (s.m.)	punto favorevole	Il vantaggio è la flessibilità.	ventaja	b1 noun
svantaggio (s.m.)	punto sfavorevole	Lo svantaggio è il costo.	desventaja	b1 noun
rischio (s.m.)	possibilità di danno	C'è il rischio di un ritardo.	riesgo	b1 noun
soluzione (s.f.)	risposta a un problema	Abbiamo trovato una soluzione.	solución	b1 noun
proposta (s.f.)	suggerimento formale	La proposta è stata approvata.	propuesta	b1 noun work
esame (s.m.)	prova di valutazione	Ho un esame domani.	examen	b1 noun school
indagine (s.f.)	investigazione; sondaggio	Ho fatto un'indagine sul tema.	investigación; encuesta	b1 noun
dati (s.m.pl.)	informazioni, numeri	I dati mostrano un calo.	datos	b1 noun
relazione (s.f.)	documento di risultati; anche il rapporto	Ho scritto la relazione mensile.	informe; relación	b1 noun work keyword
punto di vista (loc.)	prospettiva	Dal mio punto di vista, ha senso.	punto de vista	b1 noun chunk
manodopera (s.f.)	lavoro umano disponibile	Manca manodopera qualificata.	mano de obra	b1 noun work
costo della vita (loc.)	quanto costa vivere in un luogo	Il costo della vita è salito.	coste de vida	b1 noun chunk money
ora di punta (loc.)	momento di maggior traffico	Evito le ore di punta.	hora punta	b1 noun chunk transport
traffico (s.m.)	circolazione dei veicoli	Il traffico era terribile.	tráfico	b1 noun transport
ingorgo (s.m.)	traffico bloccato	Sono rimasto due ore nell'ingorgo.	atasco	b1 noun transport
multa (s.f.)	sanzione in denaro	Ho preso una multa per velocità.	multa	b1 noun transport
comune (s.m.)	amministrazione della città	Il Comune ha annunciato dei lavori.	ayuntamiento	b1 noun civic keyword
governo (s.m.)	chi guida il paese	Il governo ha approvato la legge.	gobierno	b1 noun civic
legge (s.f.)	norma giuridica	La legge entra in vigore a gennaio.	ley	b1 noun civic
diritto (s.m.)	prerogativa legale; la materia	Tutti hanno diritto alla salute.	derecho	b1 noun civic
dovere (s.m.)	obbligo	È nostro dovere votare.	deber	b1 noun civic
stampa (s.f.)	insieme dei media	La stampa ha seguito il caso.	prensa	b1 noun media
disuguaglianza (s.f.)	differenza ingiusta	Le disuguaglianze sono aumentate.	desigualdad	b1 noun social
alloggio (s.m.)	luogo dove si abita	Il problema dell'alloggio è grave.	vivienda	b1 noun social
quartiere (s.m.)	parte di una città	Abito in un quartiere tranquillo.	barrio	b1 noun places
periferia (s.f.)	zona esterna della città	Abita in periferia.	periferia	b1 noun places
lavori (s.m.pl.)	cantiere, opere	Ci sono lavori nella strada.	obras	b1 noun
ambiente (s.m.)	milieu naturale; anche una stanza	Bisogna proteggere l'ambiente.	medio ambiente	b1 noun
rifiuti (s.m.pl.)	spazzatura	Faccio la raccolta differenziata dei rifiuti.	residuos, basura	b1 noun
siccità (s.f.)	mancanza prolungata di pioggia	La siccità ha colpito i raccolti.	sequía	b1 noun weather
alluvione (s.f.)	inondazione	L'alluvione ha colpito il centro.	inundación	b1 noun weather
previsione (s.f.)	stima del futuro	Le previsioni danno pioggia.	pronóstico	b1 noun weather
all'improvviso (loc.)	improvvisamente	All'improvviso ha iniziato a piovere.	de repente	b1 adv chunk
poco a poco (loc.)	gradualmente	Poco a poco ho capito.	poco a poco	b1 adv chunk
in realtà (loc.)	rettificando	In realtà è andata diversamente.	en realidad	b1 adv chunk
inoltre (adv.)	in aggiunta	Inoltre costa meno.	además	b1 adv
tuttavia (conj.)	però	Tuttavia esistono dei rischi.	sin embargo	b1 conj
quindi (conj.)	per questa ragione	Piove, quindi restiamo.	por lo tanto	b1 conj
nonostante (prep./conj.)	malgrado	Nonostante il freddo, siamo usciti.	a pesar de	b1 prep grammar
benché (conj.)	sebbene (esige congiuntivo)	Benché sia tardi, continuo.	aunque	b1 conj grammar
affinché (conj.)	perché, con lo scopo che	Parlo piano affinché capiscano.	para que	b1 conj grammar
cioè (conj.)	ovvero	Domani, cioè martedì.	es decir	b1 conj
perfino / addirittura (adv.)	anche, incluso	Perfino lui è venuto.	incluso	b1 adv
soprattutto (adv.)	principalmente	Mi piace la musica, soprattutto il jazz.	sobre todo	b1 adv
probabilmente (adv.)	con probabilità	Probabilmente sarà in ritardo.	probablemente	b1 adv
attuale (adj.)	del momento presente	Nella situazione attuale è difficile.	actual	b1 adj
disponibile (adj.)	che si può usare	La camera è disponibile.	disponible	b1 adj
necessario / necessaria (adj.)	indispensabile	È necessario confermare prima.	necesario	b1 adj
sufficiente (adj.)	che basta	Il tempo non è stato sufficiente.	suficiente	b1 adj
capace (adj.)	che ha la capacità (capace DI)	È capace di risolverlo.	capaz	b1 adj
quotidiano / quotidiana (adj.)	di ogni giorno	È un compito quotidiano.	cotidiano	b1 adj
settimanale (adj.)	di ogni settimana	Una riunione settimanale.	semanal	b1 adj
mensile (adj.)	di ogni mese	Una relazione mensile.	mensual	b1 adj
efficace (adj.)	che produce l'effetto voluto	Il metodo è efficace.	eficaz	b1 adj
preoccupato / preoccupata (adj.)	in ansia	Sono preoccupato per lui.	preocupado	b1 adj feelings
deluso / delusa (adj.)	che ha perso le illusioni	Sono deluso dal risultato.	decepcionado	b1 adj feelings
stupito / stupita (adj.)	sorpreso	Sono stupito di vederti.	sorprendido	b1 adj feelings
diffidente (adj.)	che non si fida	È diffidente verso gli estranei.	desconfiado	b1 adj feelings
sinceramente (adv.)	con franchezza	Sinceramente, non lo so.	sinceramente	b1 adv
appena (adv.)	a stento; proprio adesso	Ho appena dormito. È appena arrivato.	apenas; recién	b1 adv keyword
ormai (adv.)	a questo punto, già	Ormai è troppo tardi.	ya, a estas alturas	b1 adv
prima (adv.)	precedentemente	Prima lavorava qui.	antes	b1 adv
