tempo (s.m.)	o que passa em horas, dias e anos; também o clima	Não tenho tempo para conversar agora.	tiempo	a1 noun top100
pessoa (s.f.)	um ser humano	Ela é uma pessoa muito simpática.	persona	a1 noun top100
ano (s.m.)	período de doze meses	Moro aqui há dois anos.	año	a1 noun top100
dia (s.m.)	período de vinte e quatro horas	Que dia é hoje?	día	a1 noun top100
coisa (s.f.)	um objeto ou assunto qualquer	Tenho uma coisa para te contar.	cosa	a1 noun top100
homem (s.m.)	pessoa adulta do sexo masculino	Aquele homem é meu pai.	hombre	a1 noun top100
mulher (s.f.)	pessoa adulta do sexo feminino	A mulher de chapéu é minha tia.	mujer	a1 noun top100
casa (s.f.)	lugar onde uma pessoa mora	Minha casa fica perto da praia.	casa	a1 noun top100
trabalho (s.m.)	atividade que se faz para ganhar dinheiro	Vou para o trabalho de ônibus.	trabajo	a1 noun top100
vida (s.f.)	o tempo em que alguém vive	A vida na cidade é agitada.	vida	a1 noun top100
mão (s.f.)	parte do corpo no fim do braço	Lave as mãos antes de comer.	mano	a1 noun body
parte (s.f.)	um pedaço de algo maior	Esta é a melhor parte do filme.	parte	a1 noun top100
criança (s.f.)	pessoa muito nova, menino ou menina	As crianças brincam no parque.	niño, niña	a1 noun family
olho (s.m.)	órgão com que vemos	Ela tem olhos castanhos.	ojo	a1 noun body
lugar (s.m.)	um espaço, um sítio	Este é um bom lugar para comer.	lugar	a1 noun top100
semana (s.f.)	período de sete dias	Trabalho cinco dias por semana.	semana	a1 noun time
família (s.f.)	pais, filhos e parentes	Minha família é grande.	familia	a1 noun family
problema (s.m.)	uma dificuldade; algo que precisa de solução	Não tem problema, eu espero.	problema	a1 noun top100
amigo (s.m.)	pessoa de quem gostamos e em quem confiamos	Meu amigo mora em Recife.	amigo	a1 noun people
dinheiro (s.m.)	moedas e notas usadas para comprar	Não tenho dinheiro suficiente.	dinero	a1 noun top100
água (s.f.)	líquido transparente que bebemos	Quero um copo de água, por favor.	agua	a1 noun food
comida (s.f.)	o que se come	A comida brasileira é deliciosa.	comida	a1 noun food
cidade (s.f.)	lugar grande com muitas casas e pessoas	São Paulo é uma cidade enorme.	ciudad	a1 noun places
rua (s.f.)	caminho com casas nos dois lados	Moro na rua das Flores.	calle	a1 noun places
carro (s.m.)	veículo com quatro rodas	Meu carro está na garagem.	coche, carro	a1 noun transport
ônibus (s.m.)	veículo grande que transporta muitas pessoas	O ônibus passa às oito.	autobús	a1 noun transport
escola (s.f.)	lugar onde as crianças aprendem	As aulas na escola começam cedo.	escuela	a1 noun places
livro (s.m.)	páginas com texto para ler	Estou lendo um livro em português.	libro	a1 noun objects
nome (s.m.)	palavra que identifica uma pessoa	Qual é o seu nome?	nombre	a1 noun top100
hora (s.f.)	sessenta minutos; também o momento do dia	Que horas são? São duas horas.	hora	a1 noun time
noite (s.f.)	período escuro do dia	Boa noite! Até amanhã.	noche	a1 noun time
manhã (s.f.)	primeira parte do dia	Acordo às seis da manhã.	mañana (parte del día)	a1 noun time
tarde (s.f.)	parte do dia entre o meio-dia e a noite	Boa tarde! Tudo bem?	tarde	a1 noun time
mês (s.m.)	período de quatro semanas, mais ou menos	Viajo no mês que vem.	mes	a1 noun time
pai (s.m.)	homem que tem filhos	Meu pai é médico.	padre	a1 noun family
mãe (s.f.)	mulher que tem filhos	Minha mãe cozinha muito bem.	madre	a1 noun family
filho (s.m.)	criança em relação aos pais	Eles têm dois filhos.	hijo	a1 noun family
irmão (s.m.)	filho dos mesmos pais	Meu irmão é mais velho que eu.	hermano	a1 noun family
sobrenome (s.m.)	nome de família	Meu sobrenome é Silva.	apellido	a1 noun falsefriend
país (s.m.)	nação, território com governo próprio	O Brasil é um país muito grande.	país	a1 noun places
ser (v.)	existir; ter uma qualidade permanente	Eu sou colombiano. Ela é professora.	ser	a1 verb top100 irregular
estar (v.)	estar em um lugar ou estado	Estou cansado hoje.	estar	a1 verb top100 irregular
ter (v.)	possuir	Tenho um irmão e uma irmã.	tener	a1 verb top100 irregular
fazer (v.)	realizar uma ação; produzir	O que você faz no fim de semana?	hacer	a1 verb top100 irregular
ir (v.)	deslocar-se para um lugar	Vou ao mercado agora.	ir	a1 verb top100 irregular
poder (v.)	ter permissão ou capacidade	Posso entrar?	poder	a1 verb top100 irregular
dizer (v.)	falar algo, expressar com palavras	O que você disse?	decir	a1 verb top100 irregular
ver (v.)	perceber com os olhos	Você viu o filme?	ver	a1 verb top100 irregular
dar (v.)	entregar algo a alguém	Ela me deu um presente.	dar	a1 verb top100 irregular
saber (v.)	ter conhecimento	Não sei a resposta.	saber	a1 verb top100 irregular
querer (v.)	desejar	Quero um café, por favor.	querer	a1 verb top100 irregular
chegar (v.)	vir a um lugar	Chego em casa às sete.	llegar	a1 verb top100
passar (v.)	ir de um lado a outro; o tempo que corre	O ônibus passa aqui?	pasar	a1 verb top100
ficar (v.)	permanecer; localizar-se; tornar-se	Onde fica o banheiro? Fiquei feliz.	quedar(se), estar (ubicación), ponerse	a1 verb top100 keyverb
falar (v.)	usar a voz para dizer algo	Você fala português muito bem.	hablar	a1 verb top100
comer (v.)	ingerir alimentos	Vamos comer uma pizza?	comer	a1 verb food
beber (v.)	ingerir líquidos	Bebo café todas as manhãs.	beber	a1 verb food
morar (v.)	viver em um lugar	Onde você mora?	vivir (en un lugar)	a1 verb top100
gostar (v.)	sentir prazer com algo (gostar DE)	Gosto de música brasileira.	gustar	a1 verb top100 preposition
trabalhar (v.)	exercer uma atividade profissional	Trabalho em um banco.	trabajar	a1 verb work
estudar (v.)	aprender, dedicar-se a aprender	Estudo português à noite.	estudiar	a1 verb school
abrir (v.)	fazer com que algo deixe de estar fechado	Pode abrir a janela?	abrir	a1 verb
fechar (v.)	o contrário de abrir	A loja fecha às seis.	cerrar	a1 verb
comprar (v.)	adquirir pagando	Preciso comprar pão.	comprar	a1 verb shopping
pagar (v.)	dar dinheiro por algo	Posso pagar com cartão?	pagar	a1 verb shopping
precisar (v.)	ter necessidade (precisar DE)	Preciso de ajuda.	necesitar	a1 verb top100 preposition
achar (v.)	encontrar; pensar, ter uma opinião	Achei a chave. Acho que sim.	encontrar; creer, parecer	a1 verb top100 keyverb
entender (v.)	compreender	Desculpe, não entendi.	entender	a1 verb top100
esperar (v.)	ficar até que algo aconteça; ter esperança	Espere um minuto, por favor.	esperar	a1 verb
ajudar (v.)	dar apoio a alguém	Você pode me ajudar?	ayudar	a1 verb
pegar (v.)	tomar com a mão; apanhar (ônibus, táxi)	Vou pegar o ônibus.	coger, tomar, agarrar	a1 verb top100 keyverb
acordar (v.)	deixar de dormir	Acordo cedo todos os dias.	despertarse	a1 verb routine falsefriend
dormir (v.)	descansar com os olhos fechados	Durmo oito horas por noite.	dormir	a1 verb routine
bom (adj.)	de qualidade positiva	É um bom restaurante.	bueno	a1 adj top100
grande (adj.)	de tamanho maior que o normal	Eles moram em uma casa grande.	grande	a1 adj top100
pequeno (adj.)	de tamanho menor que o normal	É um apartamento pequeno, mas bonito.	pequeño	a1 adj top100
novo (adj.)	recente; que tem pouca idade	Comprei um celular novo.	nuevo; joven	a1 adj top100
velho (adj.)	que tem muitos anos	Este prédio é muito velho.	viejo	a1 adj top100
bonito (adj.)	agradável de ver	Que praia bonita!	bonito	a1 adj
feio (adj.)	o contrário de bonito	O tempo está feio hoje.	feo	a1 adj
caro (adj.)	que custa muito dinheiro	Este hotel é muito caro.	caro	a1 adj shopping
barato (adj.)	que custa pouco	Achei um restaurante barato.	barato	a1 adj shopping
quente (adj.)	de temperatura alta	O café está quente.	caliente	a1 adj weather
frio (adj.)	de temperatura baixa	Hoje está frio em Curitiba.	frío	a1 adj weather
cansado (adj.)	sem energia, com sono	Estou muito cansada hoje.	cansado	a1 adj feelings
feliz (adj.)	que sente alegria	Ela está feliz com o novo trabalho.	feliz	a1 adj feelings
fácil (adj.)	que não é difícil	Português é fácil para você?	fácil	a1 adj
difícil (adj.)	que exige esforço	A prova foi difícil.	difícil	a1 adj
certo (adj.)	correto; combinado	A resposta está certa. Certo, até logo!	correcto; vale, de acuerdo	a1 adj top100
errado (adj.)	incorreto	O número está errado.	equivocado, incorrecto	a1 adj
muito (adv./adj.)	em grande quantidade ou intensidade	Gosto muito de você. Tem muita gente.	muy, mucho	a1 adv top100
