因为 (yīnwèi)	表示原因	因为下雨，我们没去。(Yīnwèi xià yǔ, wǒmen méi qù.)	porque	a2 conj hsk2 top500
所以 (suǒyǐ)	表示结果，常和"因为"一起	下雨了，所以我在家。(Xià yǔ le, suǒyǐ wǒ zài jiā.)	por eso	a2 conj hsk2 top500
但是 (dànshì)	表示相反	我想去，但是没时间。(Wǒ xiǎng qù, dànshì méi shíjiān.)	pero	a2 conj hsk2 top500
虽然 (suīrán)	让步，后面常用"但是"	虽然很贵，但是很好。(Suīrán hěn guì, dànshì hěn hǎo.)	aunque	a2 conj hsk2 grammar
还是 (háishi)	选择疑问；或者"仍然"	喝茶还是喝咖啡？(Hē chá háishi hē kāfēi?)	o (en preguntas)	a2 conj hsk2 grammar
或者 (huòzhě)	在陈述句里表示选择	我喝茶或者咖啡。(Wǒ hē chá huòzhě kāfēi.)	o (en afirmativas)	a2 conj hsk2 grammar
比 (bǐ)	比较两个东西	他比我高。(Tā bǐ wǒ gāo.)	más… que (comparativo)	a2 prep hsk2 grammar
最 (zuì)	程度最高	这个最好。(Zhège zuì hǎo.)	el más (superlativo)	a2 adv hsk2 grammar
更 (gèng)	程度更高	这个更便宜。(Zhège gèng piányi.)	más, aún más	a2 adv hsk2
一样 (yíyàng)	相同	这两个一样。(Zhè liǎng ge yíyàng.)	igual	a2 adj hsk2
正在 (zhèngzài)	动作进行中	我正在吃饭。(Wǒ zhèngzài chī fàn.)	estar + gerundio	a2 adv hsk2 grammar
过 (guo)	表示有过这个经历	我去过中国。(Wǒ qù guo Zhōngguó.)	(experiencia pasada)	a2 particle hsk2 grammar
已经 (yǐjīng)	事情做完了	他已经走了。(Tā yǐjīng zǒu le.)	ya	a2 adv hsk2 top500
还 (hái)	仍然；另外	我还没吃饭。(Wǒ hái méi chī fàn.)	todavía; además	a2 adv hsk2 top500
就 (jiù)	表示紧接着、正是	我马上就来。(Wǒ mǎshàng jiù lái.)	enseguida, justamente	a2 adv hsk2 top500
才 (cái)	比预想的晚；只有	他八点才到。(Tā bā diǎn cái dào.)	no… hasta; solo	a2 adv hsk2 grammar
再 (zài)	又一次（将来）	再说一次。(Zài shuō yí cì.)	otra vez (futuro)	a2 adv hsk2
又 (yòu)	又一次（过去）	他又来了。(Tā yòu lái le.)	otra vez (pasado)	a2 adv hsk2
一定 (yídìng)	肯定，没有疑问	我一定去。(Wǒ yídìng qù.)	seguramente, sin duda	a2 adv hsk2
可能 (kěnéng)	也许	明天可能下雨。(Míngtiān kěnéng xià yǔ.)	posiblemente	a2 adv hsk2
应该 (yīnggāi)	表示义务或推测	你应该休息。(Nǐ yīnggāi xiūxi.)	deber	a2 verb hsk2
需要 (xūyào)	必须有	我需要帮助。(Wǒ xūyào bāngzhù.)	necesitar	a2 verb hsk2
希望 (xīwàng)	想要发生	我希望你来。(Wǒ xīwàng nǐ lái.)	esperar (desear)	a2 verb hsk2
决定 (juédìng)	做出选择	我决定去上海。(Wǒ juédìng qù Shànghǎi.)	decidir	a2 verb hsk2
帮助 (bāngzhù)	给别人支持	谢谢你的帮助。(Xièxie nǐ de bāngzhù.)	ayudar; ayuda	a2 verb hsk2
介绍 (jièshào)	让别人认识	我介绍一下。(Wǒ jièshào yíxià.)	presentar	a2 verb hsk2
准备 (zhǔnbèi)	做好安排	我在准备考试。(Wǒ zài zhǔnbèi kǎoshì.)	preparar	a2 verb hsk2
开始 (kāishǐ)	进入第一步	电影开始了。(Diànyǐng kāishǐ le.)	empezar	a2 verb hsk2
结束 (jiéshù)	到最后	会议结束了。(Huìyì jiéshù le.)	terminar	a2 verb hsk2
完成 (wánchéng)	做完	我完成了工作。(Wǒ wánchéng le gōngzuò.)	completar	a2 verb hsk2
找 (zhǎo)	寻找；也是"找钱"	我在找工作。(Wǒ zài zhǎo gōngzuò.)	buscar	a2 verb hsk2 top500
带 (dài)	携带；带领	我带了雨伞。(Wǒ dài le yǔsǎn.)	llevar, traer	a2 verb hsk2
送 (sòng)	赠送；送人到某处	我送你回家。(Wǒ sòng nǐ huí jiā.)	regalar; acompañar	a2 verb hsk2 keyverb
借 (jiè)	借入或借出	我借了一本书。(Wǒ jiè le yì běn shū.)	prestar, pedir prestado	a2 verb hsk2 keyverb
还 (huán)	归还（和"hái"同字不同音）	我要还书。(Wǒ yào huán shū.)	devolver	a2 verb hsk2 keyword
忘 (wàng)	失去记忆	我忘了他的名字。(Wǒ wàng le tā de míngzi.)	olvidar	a2 verb hsk2
记得 (jìde)	保留在记忆里	我记得你。(Wǒ jìde nǐ.)	recordar	a2 verb hsk2
相信 (xiāngxìn)	认为是真的	我相信他。(Wǒ xiāngxìn tā.)	creer	a2 verb hsk2
怀疑 (huáiyí)	不太相信，觉得可能不真	我怀疑他说的话。(Wǒ huáiyí tā shuō de huà.)	dudar, sospechar	a2 verb hsk2
换 (huàn)	替换	我想换房间。(Wǒ xiǎng huàn fángjiān.)	cambiar	a2 verb hsk2
搬 (bān)	移动重的东西；搬家	下个月搬家。(Xià ge yuè bān jiā.)	mudarse, trasladar	a2 verb hsk2
洗 (xǐ)	用水弄干净	我洗手。(Wǒ xǐ shǒu.)	lavar	a2 verb hsk2
穿 (chuān)	把衣服放到身上	今天穿什么？(Jīntiān chuān shénme?)	ponerse (ropa)	a2 verb hsk2
戴 (dài)	戴帽子、眼镜、手表	我戴眼镜。(Wǒ dài yǎnjìng.)	llevar (gafas, sombrero)	a2 verb hsk2
跑 (pǎo)	快速移动	我每天早上跑步。(Wǒ měitiān zǎoshang pǎobù.)	correr	a2 verb hsk2
走 (zǒu)	用脚移动；离开	我们走吧。(Wǒmen zǒu ba.)	caminar; irse	a2 verb hsk2 keyverb
站 (zhàn)	用脚立着	别站在门口。(Bié zhàn zài ménkǒu.)	estar de pie	a2 verb hsk2
休息 (xiūxi)	停下来放松	我们休息十分钟。(Wǒmen xiūxi shí fēnzhōng.)	descansar	a2 verb hsk2
运动 (yùndòng)	体育活动	我喜欢运动。(Wǒ xǐhuan yùndòng.)	hacer deporte; deporte	a2 verb hsk2 sport
旅行 (lǚxíng)	去别的地方玩	我们去旅行。(Wǒmen qù lǚxíng.)	viajar	a2 verb hsk2
考试 (kǎoshì)	检验学习的结果	明天有考试。(Míngtiān yǒu kǎoshì.)	examen; examinarse	a2 noun hsk2 school
问题 (wèntí)	疑问；困难	我有一个问题。(Wǒ yǒu yí ge wèntí.)	pregunta; problema	a2 noun hsk2 top500
办法 (bànfǎ)	解决的方式	没有别的办法。(Méiyǒu bié de bànfǎ.)	manera, solución	a2 noun hsk2
