发展 (fāzhǎn)	变得更大更好	公司发展得很快。(Gōngsī fāzhǎn de hěn kuài.)	desarrollar(se)	b1 verb hsk3 work
提高 (tígāo)	使水平上升	我要提高汉语水平。(Wǒ yào tígāo Hànyǔ shuǐpíng.)	elevar, mejorar	b1 verb hsk3
降低 (jiàngdī)	使水平下降	成本降低了。(Chéngběn jiàngdī le.)	reducir	b1 verb hsk3
增加 (zēngjiā)	变多	人数增加了。(Rénshù zēngjiā le.)	aumentar	b1 verb hsk3
减少 (jiǎnshǎo)	变少	费用减少了。(Fèiyòng jiǎnshǎo le.)	disminuir	b1 verb hsk3
改变 (gǎibiàn)	使不一样	这改变了一切。(Zhè gǎibiàn le yíqiè.)	cambiar	b1 verb hsk3
解决 (jiějué)	把问题处理好	我们解决了问题。(Wǒmen jiějué le wèntí.)	resolver	b1 verb hsk3
影响 (yǐngxiǎng)	对别的事产生作用	天气影响了收成。(Tiānqì yǐngxiǎng le shōucheng.)	influir; influencia	b1 verb hsk3
引起 (yǐnqǐ)	使某事发生	这引起了讨论。(Zhè yǐnqǐ le tǎolùn.)	provocar	b1 verb hsk3
造成 (zàochéng)	带来（不好的结果）	造成了很大损失。(Zàochéng le hěn dà sǔnshī.)	causar	b1 verb hsk3
避免 (bìmiǎn)	不让发生	要避免这个错误。(Yào bìmiǎn zhège cuòwù.)	evitar	b1 verb hsk3
面对 (miànduì)	不逃避地处理	我们要面对现实。(Wǒmen yào miànduì xiànshí.)	afrontar	b1 verb hsk3
超过 (chāoguò)	多于	结果超过了预期。(Jiéguǒ chāoguò le yùqī.)	superar	b1 verb hsk3
达到 (dádào)	到了某个水平	达到了目标。(Dádào le mùbiāo.)	alcanzar	b1 verb hsk3
强调 (qiángdiào)	特别指出	我强调两点。(Wǒ qiángdiào liǎng diǎn.)	enfatizar	b1 verb hsk3
建议 (jiànyì)	提出想法	我建议推迟。(Wǒ jiànyì tuīchí.)	sugerir; sugerencia	b1 verb hsk3
拒绝 (jùjué)	不接受	我拒绝了这个提议。(Wǒ jùjué le zhège tíyì.)	rechazar	b1 verb hsk3
承认 (chéngrèn)	说自己错了或事实如此	我承认我错了。(Wǒ chéngrèn wǒ cuò le.)	admitir	b1 verb hsk3
发现 (fāxiàn)	注意到，找到	我发现他很紧张。(Wǒ fāxiàn tā hěn jǐnzhāng.)	darse cuenta, descubrir	b1 verb hsk3
出现 (chūxiàn)	变得可见	出现了新问题。(Chūxiàn le xīn wèntí.)	aparecer	b1 verb hsk3
放弃 (fàngqì)	不再继续	别放弃！(Bié fàngqì!)	rendirse, abandonar	b1 verb hsk3
坚持 (jiānchí)	一直不放弃	他坚持要付钱。(Tā jiānchí yào fù qián.)	insistir, persistir	b1 verb hsk3
取决于 (qǔjué yú)	由某个条件决定	这取决于时间。(Zhè qǔjué yú shíjiān.)	depender de	b1 verb chunk
抱怨 (bàoyuàn)	表示不满	他抱怨服务不好。(Tā bàoyuàn fúwù bù hǎo.)	quejarse	b1 verb hsk3
感谢 (gǎnxiè)	表示谢意	感谢大家的帮助。(Gǎnxiè dàjiā de bāngzhù.)	agradecer	b1 verb hsk3
利用 (lìyòng)	好好使用	我利用假期休息。(Wǒ lìyòng jiàqī xiūxi.)	aprovechar	b1 verb hsk3
投资 (tóuzī)	把钱放进去以求回报	他们投资了技术。(Tāmen tóuzī le jìshù.)	invertir	b1 verb money
